Date,Clinton,Trump,Spread
Aug 30,41.5,37.0,4.5
Aug 31,43.0,39.5,3.5
Sep 01,43.0,38.7,4.3
Sep 02,41.5,41.0,0.5
Sep 06,45.0,43.3,1.7
Sep 07,41.2,39.2,2.0
Sep 08,43.0,39.0,4.0
Sep 11,46.7,41.3,5.4
Sep 12,44.0,44.0,0.0
Sep 13,45.0,42.0,3.0
Sep 14,42.7,40.7,2.0
Sep 15,42.8,42.8,0.0
Sep 20,43.5,43.5,0.0
Sep 21,42.0,39.7,2.3
Sep 22,44.7,42.3,2.4
Sep 23,45.7,40.0,5.7
Sep 25,46.8,44.0,2.8
Sep 26,46.1,43.8,2.3
Sep 27,43.0,46.0,-3.0
Sep 28,44.8,40.3,4.5
Sep 29,42.0,41.0,1.0
Sep 30,46.4,43.8,2.6
Oct 01,42.0,47.0,-5.0
Oct 02,42.0,47.0,-5.0
